0	2022-11-29 12:43:14Z	Sorry, planned but not yet available
1	2022-11-29 12:52:16Z	Use absolute paths for cron tabs to execute binaries
2	2022-11-29 13:06:26Z	Access private machines via SSH
3	2022-11-29 13:46:12Z	AlpineJS scope and state management
4	2022-12-01 10:06:32Z	Use the -d @FILENAME to post JSON when using CURL
5	2022-12-01 10:07:12Z	Go.mod file makes it easy to change dependency versions
6	2022-12-01 10:07:34Z	Do not use dashes for go package names
7	2022-12-01 10:07:53Z	Do not name multiple go packages in the same directory
8	2022-12-01 10:09:02Z	Output JSON in Golang template
9	2022-12-01 10:10:39Z	Google maps API autocomplete does not work well with UK addresses
10	2022-12-01 10:12:08Z	GPG Key Github Authorisation
11	2022-12-01 10:12:32Z	Java dependencies vs Go
12	2022-12-01 10:12:45Z	Java compatibility on IDEs are strange.
13	2022-12-01 10:14:02Z	Java search results are confusing
14	2022-12-01 10:14:20Z	Use {} to define scope in Java switch case statements
15	2022-12-01 10:19:50Z	IEEE 754 floating point math
16	2022-12-01 10:21:26Z	SQLite Get Started
17	2022-12-01 10:21:48Z	Subnets to Network IP
18	2022-12-01 10:22:05Z	Testing informs design decisions
19	2022-12-01 10:22:22Z	Thermal printers are unique
20	2022-12-01 10:22:37Z	Do not use web.xml along with @WebServlet notation in tomcat 9
21	2022-12-01 10:22:55Z	Tomcat development without IDE
22	2022-12-01 10:23:39Z	Ubuntu server installation use entire disk space
23	2022-12-25 00:13:48Z	Golang : operator in slices and arrays
24	2022-12-29 23:11:47Z	Golang Method has pointer receiver
